Номер счёта;Тип операции (пополнение/списание);Категория операции;Статус;Дата проведения;Дата транзакции;Номер платежа;Код ВО;Валюта операции;Сумма в валюте счёта;Валюта счёта;Описание операции;Назначение платежа;Счет плательщика;ИНН плательщика;КПП плательщика;Наименование плательщика;БИК банка плательщика;Корр. счет плательщика;Счет получателя;Договор получателя;ИНН получателя;КПП получателя;Наименование получателя;БИК банка получателя;Корр. счет получателя;Счет контрагента;ИНН контрагента;Наименование контрагента;БИК банка контрагента;MCC;Банк;КБК-код бюджетной классификации;Основание налогового платежа;Налоговый период;Код (УИН)
40802810999900000001;Кредит;Входящие платежи;Транзакция;12.08.2024;10.08.2024;100008;17;643;24019,3;643;Зачисление выручки СБП по реестру 202408003;Перевод средств по реестру операций 202408003. Канал: СБП. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Оплата картой;Транзакция;14.08.2024;14.08.2024;;17;643;4288,97;643;Канцелярские и хозяйственные товары;Оплата по корпоративной карте: офисные и хозяйственные расходы.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000006;;9903000006;990301006;ООО ОФИС ДЕМО;044500926;30101810999990000926;40702810999930000006;9903000006;ООО ОФИС ДЕМО;044500926;5943;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;14.08.2024;14.08.2024;100018;01;643;18158;643;Логистика и доставка заказов за 08.2024;Транспортные услуги по реестру LOG-202408.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000001;DEMO-LOG-001;9903000001;990301001;ООО ДЕМО ЛОГИСТИКА;044500921;30101810999990000921;40702810999930000001;9903000001;ООО ДЕМО ЛОГИСТИКА;044500921;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;16.08.2024;16.08.2024;100012;17;643;49290,33;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408007;Перевод средств по реестру операций 202408007. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;16.08.2024;16.08.2024;100024;01;643;21013;643;Коммунальные расходы за 08.2024;Электроэнергия, связь и коммунальные услуги за 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000005;UTIL-DEMO-001;9903000004;990301004;ООО ОБЛАКО ДЕМО;044500924;30101810999990000925;40702810999930000005;9903000004;ООО ОБЛАКО ДЕМО;044500924;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;17.08.2024;17.08.2024;100015;01;643;93466,72;643;Оплата поставщику за партию сырья 2024-08-2;Оплата материалов и производства по счету SUP-202408-2. В том числе НДС 20%.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999920000002;DEMO-SUPPLY-001;9902000002;990201002;ООО ТЕСТ ПРОИЗВОДСТВО;044500912;30101810999990000912;40702810999920000002;9902000002;ООО ТЕСТ ПРОИЗВОДСТВО;044500912;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Переводы между счетами;Транзакция;17.08.2024;17.08.2024;100032;01;643;45551;643;Внутренний перевод между собственными счетами;Перевод между собственными счетами. Не является доходом или расходом.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40817810999900000002;INTERNAL-DEMO;990000000001;0;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;30101810999990000998;40817810999900000002;990000000001;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Оплата картой;Транзакция;19.08.2024;;;17;643;2775,02;643;Оплата корпоративной подписки DEMO CLOUD;Оплата по корпоративной карте: облачное программное обеспечение.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000005;;9903000005;990301005;ООО СОФТ ДЕМО;044500925;30101810999990000925;40702810999930000005;9903000005;ООО СОФТ ДЕМО;044500925;5734;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;19.08.2024;17.08.2024;100005;01;643;85015,11;643;Оплата от покупателя по счету DEMO-202408-005;Оплата товаров по счету DEMO-202408-005. НДС не облагается.;40702810999910000002;9901000003;990101002;ООО БЕТА-ТЕСТ;044500902;30101810999990000902;40802810999900000001;Договор DEMO-0002;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000002;9901000003;ООО БЕТА-ТЕСТ;044500902;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;19.08.2024;19.08.2024;100011;17;643;35095,68;643;Зачисление выручки СБП по реестру 202408006;Перевод средств по реестру операций 202408006. Канал: СБП. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;19.08.2024;19.08.2024;100020;01;643;60263;643;Вознаграждение подрядчику за 08.2024;Оплата услуг подрядчика по акту HR-202408-1. НДС не облагается.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40817810999940000001;DEMO-HR-001;990400000001;0;САМОЗАНЯТЫЙ ДЕМО СПЕЦИАЛИСТ 01;044500931;30101810999990000931;40817810999940000001;990400000001;САМОЗАНЯТЫЙ ДЕМО СПЕЦИАЛИСТ 01;044500931;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;20.08.2024;;100013;17;643;42083,01;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408008;Перевод средств по реестру операций 202408008. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;20.08.2024;20.08.2024;100010;17;643;35847,86;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408005;Перевод средств по реестру операций 202408005. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;20.08.2024;20.08.2024;100021;01;643;56868;643;Вознаграждение подрядчику за 08.2024;Оплата услуг подрядчика по акту HR-202408-2. НДС не облагается.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40817810999940000002;DEMO-HR-002;990400000002;0;САМОЗАНЯТЫЙ ДЕМО СПЕЦИАЛИСТ 02;044500932;30101810999990000932;40817810999940000002;990400000002;САМОЗАНЯТЫЙ ДЕМО СПЕЦИАЛИСТ 02;044500932;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Услуги банка;Транзакция;20.08.2024;20.08.2024;100026;17;643;490;643;Плата за обслуживание счета;Плата за обслуживание расчетного счета за 08.2024. Договор DEMO-BANK-001.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;47423810999900000001;DEMO-BANK-001;9900000002;990001001;АО ДЕМО БАНК;044500999;30101810999990000999;47423810999900000001;9900000002;АО ДЕМО БАНК;044500999;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Услуги банка;Транзакция;20.08.2024;20.08.2024;100027;17;643;199;643;Плата за услугу оповещения об операциях;Плата за уведомления и SMS-банк за 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;47423810999900000001;DEMO-BANK-001;9900000002;990001001;АО ДЕМО БАНК;044500999;30101810999990000999;47423810999900000001;9900000002;АО ДЕМО БАНК;044500999;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;21.08.2024;21.08.2024;100004;01;643;87307,1;643;Оплата от покупателя по счету DEMO-202408-004;Оплата товаров по счету DEMO-202408-004. НДС не облагается.;40702810999910000001;9901000001;990101001;ООО АЛЬФА-ДЕМО;044500901;30101810999990000901;40802810999900000001;Договор DEMO-0001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000001;9901000001;ООО АЛЬФА-ДЕМО;044500901;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;21.08.2024;21.08.2024;100022;01;643;72537;643;Вознаграждение подрядчику за 08.2024;Оплата услуг подрядчика по акту HR-202408-3. НДС не облагается.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40802810999940000003;DEMO-HR-003;990400000003;0;ИП ТЕСТОВА МАРИЯ ДЕМО;044500933;30101810999990000933;40802810999940000003;990400000003;ИП ТЕСТОВА МАРИЯ ДЕМО;044500933;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;23.08.2024;23.08.2024;100007;17;643;38306,25;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408002;Перевод средств по реестру операций 202408002. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;23.08.2024;23.08.2024;100016;01;643;56646,49;643;Оплата поставщику за партию сырья 2024-08-3;Оплата материалов и производства по счету SUP-202408-3. В том числе НДС 20%.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999920000002;DEMO-SUPPLY-001;9902000001;990201001;ООО ДЕМО СЫРЬЁ;044500911;30101810999990000912;40702810999920000002;9902000001;ООО ДЕМО СЫРЬЁ;044500911;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Платежи в налоговую;Транзакция;25.08.2024;25.08.2024;100029;01;643;45231,04;643;ЕНП. Налог по УСН;Единый налоговый платеж. УСН 6%. Период 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;03100643999900000001;;9900000010;990001001;КАЗНАЧЕЙСТВО ДЕМО (ФНС ДЕМО);017000999;40102810999990000999;03100643999900000001;9900000010;КАЗНАЧЕЙСТВО ДЕМО (ФНС ДЕМО);017000999;;КАЗНАЧЕЙСТВО ДЕМО;18210501011011000110;ТП;МС.08.2024;0
40802810999900000001;Кредит;Входящие платежи;Транзакция;26.08.2024;25.08.2024;100002;01;643;86630,32;643;Оплата от покупателя по счету DEMO-202408-002;Оплата товаров по счету DEMO-202408-002. НДС не облагается.;40702810999910000004;9901000003;990101003;ООО ГАММА-МАРКЕТ;044500903;30101810999990000903;40802810999900000001;Договор DEMO-0003;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000004;9901000003;ООО ГАММА-МАРКЕТ;044500903;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;27.08.2024;27.08.2024;100009;17;643;56914,43;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408004;Перевод средств по реестру операций 202408004. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Дебет;Услуги банка;Транзакция;27.08.2024;27.08.2024;100028;17;643;6816,69;643;Комиссия за интернет-эквайринг и СБП;Комиссия за обработку платежей по реестрам 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;DEMO-ACQ-001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;28.08.2024;28.08.2024;100030;17;643;500,52;643;Проценты на остаток и бизнес-кэшбэк;Начисление процентов и кэшбэка за 08.2024.;47423810999900000001;9900000002;990001001;АО ДЕМО БАНК;044500999;30101810999990000999;40802810999900000001;DEMO-BANK-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;47423810999900000001;9900000002;АО ДЕМО БАНК;044500999;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;02.09.2024;02.09.2024;100054;01;643;85000;643;Аренда помещения за 09.2024;Арендная плата по договору RENT-DEMO-001 за 09.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000003;RENT-DEMO-001;9903000003;990301003;ООО БИЗНЕС-ЦЕНТР ДЕМО;044500923;30101810999990000923;40702810999930000003;9903000003;ООО БИЗНЕС-ЦЕНТР ДЕМО;044500923;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;03.09.2024;03.09.2024;100034;01;643;112346,35;643;Оплата от покупателя по счету DEMO-202409-002;Оплата товаров по счету DEMO-202409-002. НДС не облагается.;40702810999910000004;9901000004;990101004;ООО ДЕЛЬТА-ШОП;044500904;30101810999990000904;40802810999900000001;Договор DEMO-0004;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000004;9901000004;ООО ДЕЛЬТА-ШОП;044500904;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;03.09.2024;03.09.2024;100064;01;643;250000;643;Взнос собственника на развитие бизнеса;Внесение собственных средств предпринимателя. НДС не облагается.;40817810999900000002;990000000001;0;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;30101810999990000998;40802810999900000001;OWNER-DEMO;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40817810999900000002;990000000001;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;04.09.2024;04.09.2024;100036;01;643;106489,54;643;Оплата от покупателя по счету DEMO-202409-004;Оплата товаров по счету DEMO-202409-004. НДС не облагается.;40702810999910000002;9901000003;990101002;ООО БЕТА-ТЕСТ;044500902;30101810999990000902;40802810999900000001;Договор DEMO-0002;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000002;9901000003;ООО БЕТА-ТЕСТ;044500902;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;04.09.2024;04.09.2024;100040;17;643;44353,54;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202409004;Перевод средств по реестру операций 202409004. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Кредит;Кредитование;Транзакция;06.09.2024;06.09.2024;100065;35;643;1500000;643;Получение инвестиционного кредита;Выдача кредита по договору LOAN-DEMO-001.;45207810999900000001;9900000020;990001002;АО ДЕМО КРЕДИТ;044500997;30101810999990000997;40802810999900000001;LOAN-DEMO-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;45207810999900000001;9900000020;АО ДЕМО КРЕДИТ;044500997;;АО ДЕМО КРЕДИТ;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;07.09.2024;07.09.2024;100056;01;643;8475;643;Подписка на программное обеспечение;Лицензии и облачные сервисы за 09.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000005;SOFT-DEMO-001;9903000005;990301005;ООО СОФТ ДЕМО;044500925;30101810999990000925;40702810999930000005;9903000005;ООО СОФТ ДЕМО;044500925;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;08.09.2024;08.09.2024;100050;01;643;32057,37;643;Маркетинг и реклама за 09.2024;"Рекламная кампания MEDIA-202409; продвижение и аналитика.";40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000002;DEMO-MEDIA-001;9903000002;990301002;ООО МЕДИА ТЕСТ;044500922;30101810999990000922;40702810999930000002;9903000002;ООО МЕДИА ТЕСТ;044500922;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Оплата картой;Транзакция;11.09.2024;11.09.2024;;17;643;3639,31;643;Оплата корпоративной подписки DEMO CLOUD;Оплата по корпоративной карте: облачное программное обеспечение.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000005;;9903000005;990301005;ООО СОФТ ДЕМО;044500925;30101810999990000925;40702810999930000005;9903000005;ООО СОФТ ДЕМО;044500925;5734;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;11.09.2024;11.09.2024;100045;01;643;158383,97;643;Оплата поставщику за партию сырья 2024-09-1;Оплата материалов и производства по счету SUP-202409-1. В том числе НДС 20%.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999920000002;DEMO-SUPPLY-001;9902000001;990201001;ООО ДЕМО СЫРЬЁ;044500911;30101810999990000912;40702810999920000002;9902000001;ООО ДЕМО СЫРЬЁ;044500911;;АО ДЕМО БАНК;;;;
